premises,Text,label
The cat is sleeping on the windowsill.,The cat is taking a nap.,1
A group of friends is playing soccer in the park.,People are enjoying the outdoors.,1
The chef is preparing a delicious meal in the kitchen.,A meal is being cooked.,1
A bright rainbow stretches across the sky after the rain.,The rain has stopped.,1
The students are listening attentively during the lecture.,The teacher is giving a presentation.,1
A dog is chasing a frisbee in the park.,The dog is playing fetch.,1
A beautiful sunset paints the sky with orange and pink hues.,The sky is full of vibrant colors.,1
The scientist is conducting an experiment in the laboratory.,An experiment is being carried out.,1
Children are building sandcastles on the beach.,Kids are playing in the sand.,1
A hiker reaches the summit of a mountain and enjoys the view.,The hiker successfully reached the top.,1
An artist is painting a landscape on a canvas.,Someone is creating a painting.,1
A parent is pushing a child on a swing at the playground.,A child is laughing on the swing.,1
Traffic is moving smoothly on the highway.,Cars are driving on the road.,1
A group of people is dancing in a ballroom.,People are having a dance party.,1
A cozy fireplace warms up the living room.,The room is filled with warmth.,1
An architect is drawing blueprints for a new building.,Plans for construction are being made.,1
Leaves rustle as the breeze passes through the trees.,The wind is gently blowing.,1
A child is blowing out candles on a birthday cake.,Someone is celebrating a birthday.,1
Sunflowers are facing the sun in a garden.,The flowers are seeking sunlight.,1
An athlete is crossing the finish line with arms raised.,Someone is completing a race.,1
A family is having a picnic in the park.,People are eating outdoors.,1
A scientist is looking through a microscope at a specimen.,Microscopic examination is taking place.,1
Children are riding on a carousel at the fair.,Kids are enjoying the fair rides.,1
A musician is playing the guitar on stage.,Someone is performing music.,1
Rows of books are neatly arranged on the library shelves.,The library has organized bookshelves.,1
A baker is taking freshly baked bread out of the oven.,Bread has been baked.,1
A gardener is planting flowers in a flowerbed.,Someone is tending to the garden.,1
A baby is giggling while playing with a teddy bear.,The child is amused by the toy.,1
A couple is walking hand in hand on the beach at sunset.,The couple is enjoying a romantic stroll.,1
A teacher is writing on the chalkboard during a lesson.,Instruction is being provided in the classroom.,1
A barista is making a cappuccino at the coffee shop.,Coffee is being prepared.,1
A child is flying a kite in the park.,Someone is flying a colorful kite.,1
A bride and groom are dancing at their wedding.,A wedding celebration is happening.,1
A firefighter is rescuing a cat from a tree.,Someone is performing a rescue operation.,1
A basketball player is making a slam dunk.,Someone is scoring points in basketball.,1
A mechanic is repairing a car's engine.,Vehicle maintenance is taking place.,1
A scientist is mixing chemicals in the lab.,Chemical substances are being combined.,1
Children are building a snowman in the yard.,Kids are playing in the snow.,1
A chef is garnishing a dish with fresh herbs.,Food is being garnished.,1
A writer is typing on a typewriter to finish a novel.,Someone is working on a literary piece.,1
A lifeguard is watching over swimmers at the pool.,Pool safety is being monitored.,1
A construction worker is hammering nails into a wooden frame.,Construction is in progress.,1
A street performer is juggling colorful balls.,Someone is showcasing juggling skills.,1
A mother and daughter are baking cookies in the kitchen.,Baking activities are happening.,1
A scientist is observing the behavior of ants.,Ants are being studied.,1
A child is blowing bubbles and chasing them in the air.,Someone is playing with bubbles.,1
A farmer is herding sheep in a green pasture.,Sheep are being guided by a farmer.,1
A pianist is playing a grand piano in a concert hall.,Music is being performed on a piano.,1
A dentist is examining a patient's teeth.,Dental examination is taking place.,1
A waiter is serving a plate of delicious food.,Food is being served.,1
A student is raising their hand to ask a question in class.,Classroom participation is happening.,1
A street artist is creating a mural on a city wall.,Artwork is being painted on a wall.,1
A parent is teaching their child to ride a bicycle.,Bicycle riding instruction is underway.,1
A group of friends is toasting with glasses of champagne.,A celebration is in progress.,1
A surgeon is operating on a patient in the operating room.,Surgical procedure is underway.,1
A child is hugging a puppy in the park.,Someone is embracing a dog.,1
A bee is collecting nectar from a flower.,Nectar is being gathered by a bee.,1
A scientist is examining a rock under a microscope.,Geological analysis is taking place.,1
A photographer is capturing a stunning landscape.,A photograph is being taken.,1
A coach is giving a motivational speech to the sports team.,Team encouragement is happening.,1
A tailor is sewing a custom-made suit.,Tailoring work is in progress.,1
A tour guide is leading a group of tourists through a museum.,Tourism and education are combined.,1
A street vendor is selling colorful balloons to children.,Balloons are being sold.,1
A pharmacist is counting and dispensing medication.,Medication is being provided.,1
A lifeguard is rescuing a swimmer in distress.,Emergency response is happening.,1
A scientist is mixing chemicals in a lab.,Chemical reaction is occurring.,1
A musician is playing the violin in an orchestra.,Orchestral performance is happening.,1
A teacher is helping a student with their assignment.,Educational assistance is given.,1
A chef is slicing vegetables for a stir-fry dish.,Vegetables are being prepared.,1
A firefighter is extinguishing flames in a building.,Firefighting operation is underway.,1
A sculptor is shaping a block of marble into a statue.,Artistic sculpting is occurring.,1
A parent is helping their child fly a kite in the park.,Parent-child bonding is happening.,1
A soccer player is dribbling the ball down the field.,Soccer gameplay is occurring.,1
A nurse is caring for a patient in a hospital bed.,Patient care is being provided.,1
A farmer is harvesting ripe apples from the orchard.,Apple picking is underway.,1
A construction worker is operating a crane on a building site.,Construction equipment is in use.,1
A dancer is performing a graceful ballet routine.,Dance performance is happening.,1
A barber is giving a customer a haircut at the salon.,Haircutting service is provided.,1
A scientist is observing a rare astronomical event through a telescope.,Astronomical observation is happening.,1
A parent is teaching their child how to swim in the pool.,Swimming instruction is underway.,1
A group of friends is laughing and chatting around a campfire.,Socializing around the fire.,1
A painter is creating a mural on an outdoor wall.,Mural painting is happening.,1
A coach is giving instructions to a team before the game.,Pre-game preparation is happening.,1
A florist is arranging a bouquet of fresh flowers.,Flower arrangement is taking place.,1
A scientist is conducting a physics experiment in a lab.,Scientific experimentation is happening.,1
A musician is playing a saxophone in a jazz band.,Jazz music performance is happening.,1
A teacher is guiding students through a science experiment.,Educational experiment is happening.,1
A chef is flipping pancakes on a hot griddle.,Pancake cooking is underway.,1
A firefighter is rappelling down a building during a drill.,Firefighter training is happening.,1
A sculptor is chiseling a piece of marble into a statue.,Artistic sculpting is occurring.,1
A parent is helping their child build a sandcastle on the beach.,Parent-child bonding is happening.,1
A soccer player is taking a penalty kick during a match.,Soccer gameplay is occurring.,1
A nurse is comforting a patient in a hospital room.,Patient support is being provided.,1
A farmer is gathering eggs from the chicken coop.,Egg collection is happening.,1
A construction worker is welding steel beams at a construction site.,Welding work is happening.,1
A dancer is performing a lively hip-hop routine.,Dance performance is happening.,1
A barber is giving a customer a stylish haircut at the salon.,Haircutting service is provided.,1
A scientist is analyzing data on a computer in a lab.,Data analysis is underway.,1
